user_id,item_id,category,gender,day,month
1,id_00005846-04_4,Dresses,WOMEN,8,8
2,id_00002292-04_2,Dresses,WOMEN,6,11
2,id_00000386-01_7,Dresses,WOMEN,3,11
2,id_00004681-03_1,Dresses,WOMEN,2,3
2,id_00002691-06_1,Pants,WOMEN,15,4
2,id_00002184-04_1,Sweaters,WOMEN,1,3
3,id_00004741-01_4,Graphic_Tees,WOMEN,4,3
3,id_00000302-02_2,Dresses,WOMEN,23,11
3,id_00004621-08_1,Pants,WOMEN,2,2
3,id_00002576-04_1,Sweaters,WOMEN,23,3
4,id_00002682-03_1,Dresses,WOMEN,24,12
4,id_00005520-01_4,Sweaters,WOMEN,11,6
4,id_00006570-04_4,Tees_Tanks,WOMEN,27,8
5,id_00000498-02_1,Tees_Tanks,WOMEN,23,2
5,id_00006691-01_1,Dresses,WOMEN,12,3
5,id_00006863-23_4,Tees_Tanks,WOMEN,29,5
5,id_00002751-03_4,Cardigans,WOMEN,6,10
5,id_00006276-07_4,Dresses,WOMEN,8,12
6,id_00003216-03_4,Sweaters,MEN,12,1
6,id_00006812-04_7,Sweaters,MEN,14,7
7,id_00001057-02_1,Blouses_Shirts,WOMEN,17,9
7,id_00002224-02_7,Dresses,WOMEN,5,5
7,id_00001732-02_1,Jackets_Coats,WOMEN,8,10
7,id_00002430-05_1,Dresses,WOMEN,19,1
7,id_00003350-01_4,Tees_Tanks,WOMEN,8,6
8,id_00001277-01_4,Tees_Tanks,WOMEN,29,2
9,id_00004306-01_1,Jackets_Coats,WOMEN,4,12
9,id_00004136-02_1,Dresses,WOMEN,26,12
9,id_00000828-02_1,Rompers_Jumpsuits,WOMEN,16,7
9,id_00003711-03_4,Blouses_Shirts,WOMEN,28,1
9,id_00001363-05_2,Dresses,WOMEN,7,8
10,id_00006042-02_1,Pants,WOMEN,8,9
11,id_00001457-01_7,Shorts,MEN,21,1
11,id_00004740-06_7,Tees_Tanks,MEN,14,5
11,id_00000527-04_7,Tees_Tanks,MEN,3,6
11,id_00002898-08_7,Pants,MEN,30,11
11,id_00005548-04_4,Shirts_Polos,MEN,31,10
12,id_00004302-01_7,Tees_Tanks,MEN,2,1
12,id_00006493-01_7,Pants,MEN,2,9
12,id_00001831-05_4,Sweatshirts_Hoodies,MEN,5,6
13,id_00004784-04_4,Shorts,WOMEN,8,2
13,id_00005984-15_4,Dresses,WOMEN,1,11
13,id_00003925-01_4,Dresses,WOMEN,27,2
13,id_00006448-02_7,Rompers_Jumpsuits,WOMEN,15,9
13,id_00003250-02_3,Dresses,WOMEN,5,7
14,id_00007146-05_1,Pants,MEN,6,7
14,id_00003132-03_1,Tees_Tanks,MEN,2,1
14,id_00004698-12_4,Tees_Tanks,MEN,15,8
14,id_00001021-04_4,Tees_Tanks,MEN,18,5
14,id_00000100-01_4,Tees_Tanks,MEN,22,2
15,id_00007856-03_1,Dresses,WOMEN,19,3
15,id_00000213-01_4,Pants,WOMEN,28,12
